epoch,lr,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc,val_precision,val_recall,val_f1
1,9.999999999999999e-05,0.342355259351418,0.8873546511627907,0.9525216157101494,0.40850078114999283,0.9036608863198459,0.9855979841054469,0.9883381924198251,0.8805194805194805,0.9313186813186813
2,0.00019999999999999998,0.23714894251556984,0.9510658914728682,0.9829178659571045,0.24274392951430612,0.9450867052023122,0.9944902112812561,0.9958275382475661,0.9298701298701298,0.9617192746809939
3,0.0003,0.22294717969692282,0.9600290697674418,0.9849415789546287,0.304437505486843,0.930635838150289,0.9903324287652646,0.9901685393258427,0.9155844155844156,0.951417004048583
4,0.0003,0.19784842405705094,0.970203488372093,0.9903645259601969,0.2174417141085645,0.9720616570327553,0.9956435355689087,0.9881422924901185,0.974025974025974,0.9810333551340745
5,0.00029744596495258525,0.19397341447069466,0.969234496124031,0.9898400396080757,0.26657025033683446,0.9499036608863198,0.99532855204497,0.9917808219178083,0.9402597402597402,0.9653333333333334
6,0.0002898708344106533,0.18199921217038223,0.9769864341085271,0.9915287314205604,0.2511566484307508,0.9373795761078998,0.9949990308199264,0.9943899018232819,0.9207792207792208,0.9561699258260283
7,0.0002775325703594421,0.1751441472068228,0.9769864341085271,0.9942400469188638,0.16829331306765763,0.9807321772639692,0.994388447373522,0.993421052631579,0.9805194805194806,0.9869281045751634
8,9.999999999999999e-06,0.16262550505599535,0.9837693798449613,0.994574853639845,0.1711821477709478,0.9749518304431599,0.9953963946501261,0.993368700265252,0.9727272727272728,0.9829396325459318
9,1.9999999999999998e-05,0.15573708348421234,0.9866763565891473,0.9956879279137966,0.1714139274520681,0.9749518304431599,0.9955999224655941,0.993368700265252,0.9727272727272728,0.9829396325459318
10,2.9999999999999997e-05,0.15284049281265463,0.9876453488372093,0.9966764782386777,0.2180892591990947,0.9585741811175337,0.9939377786392712,0.9972640218878249,0.9467532467532468,0.9713524317121919
11,2.9999999999999997e-05,0.1550400522977171,0.9866763565891473,0.9959141147095543,0.17667458032711852,0.9759152215799615,0.9961378174064742,0.9973297730307076,0.9701298701298702,0.9835418038183015
12,2.9744596495258527e-05,0.14687682949509004,0.9903100775193798,0.9976330789148004,0.1755706912233191,0.9749518304431599,0.9941413064547393,0.9946808510638298,0.9714285714285714,0.9829172141918529
13,2.8987083441065332e-05,0.14238826353425924,0.9907945736434108,0.9983116284712563,0.1818448863421102,0.9720616570327553,0.994102539251793,0.9959839357429718,0.9662337662337662,0.980883322346737
14,2.7753257035944212e-05,0.14322764651853453,0.9917635658914729,0.9978751331486271,0.20932459918807236,0.9566473988439307,0.9909672417135102,0.9972565157750343,0.9441558441558442,0.9699799866577719
15,2.6085133758309884e-05,0.14448606784173748,0.9910368217054264,0.998348965511758,0.1836578536182929,0.9710982658959537,0.993768172126381,0.9973118279569892,0.9636363636363636,0.9801849405548216
16,2.4039519545688845e-05,0.14421252897709091,0.9898255813953488,0.9988582116464857,0.1787148449921654,0.9749518304431599,0.9949214964140338,0.9946808510638298,0.9714285714285714,0.9829172141918529
17,2.1686075336648075e-05,0.145027099719167,0.9907945736434108,0.9973598068810148,0.20234562137912462,0.9614643545279383,0.9920963364993217,0.994579945799458,0.9532467532467532,0.9734748010610079
18,1.9104944851081244e-05,0.13869400911018798,0.9927325581395349,0.998764882870542,0.18476880397755285,0.9730250481695568,0.9929443690637721,0.9959893048128342,0.9675324675324676,0.9815546772068511
